Continente,cod continente,País,cod pais,UF,cod uf,Via,cod via,ano,Mês,cod mes,Chegadas
África,1,África do Sul,2,Bahia,5,Aérea,1,2019,janeiro,1,1
África,1,Angola,6,Bahia,5,Aérea,1,2019,janeiro,1,0
África,1,Cabo Verde,35,Bahia,5,Aérea,1,2019,janeiro,1,0
África,1,Egito,60,Bahia,5,Aérea,1,2019,janeiro,1,1
África,1,Gana,77,Bahia,5,Aérea,1,2019,janeiro,1,0
África,1,Marrocos,143,Bahia,5,Aérea,1,2019,janeiro,1,0
África,1,Moçambique,151,Bahia,5,Aérea,1,2019,janeiro,1,0
África,1,Nigéria,162,Bahia,5,Aérea,1,2019,janeiro,1,0
África,1,Quênia,180,Bahia,5,Aérea,1,2019,janeiro,1,0
África,1,Tunísia,228,Bahia,5,Aérea,1,2019,janeiro,1,0
África,1,Outros países,998,Bahia,5,Aérea,1,2019,janeiro,1,2
América Central e Caribe,2,Costa Rica,53,Bahia,5,Aérea,1,2019,janeiro,1,1
América Central e Caribe,2,Cuba,55,Bahia,5,Aérea,1,2019,janeiro,1,8
América Central e Caribe,2,El Salvador,61,Bahia,5,Aérea,1,2019,janeiro,1,0
América Central e Caribe,2,Guatemala,84,Bahia,5,Aérea,1,2019,janeiro,1,3
América Central e Caribe,2,Haiti,91,Bahia,5,Aérea,1,2019,janeiro,1,0
América Central e Caribe,2,Honduras,93,Bahia,5,Aérea,1,2019,janeiro,1,2
América Central e Caribe,2,Nicarágua,160,Bahia,5,Aérea,1,2019,janeiro,1,0
América Central e Caribe,2,Panamá,170,Bahia,5,Aérea,1,2019,janeiro,1,32
América Central e Caribe,2,República Dominicana,186,Bahia,5,Aérea,1,2019,janeiro,1,0
América Central e Caribe,2,Trinidad e Tobago,227,Bahia,5,Aérea,1,2019,janeiro,1,0
América Central e Caribe,2,Outros países,998,Bahia,5,Aérea,1,2019,janeiro,1,0
América do Norte,3,Canadá,38,Bahia,5,Aérea,1,2019,janeiro,1,16
América do Norte,3,Estados Unidos,68,Bahia,5,Aérea,1,2019,janeiro,1,198
América do Norte,3,México,148,Bahia,5,Aérea,1,2019,janeiro,1,22
América do Sul,4,Argentina,11,Bahia,5,Aérea,1,2019,janeiro,1,16315
América do Sul,4,Bolívia,26,Bahia,5,Aérea,1,2019,janeiro,1,10
América do Sul,4,Chile,42,Bahia,5,Aérea,1,2019,janeiro,1,118
América do Sul,4,Colômbia,48,Bahia,5,Aérea,1,2019,janeiro,1,109
América do Sul,4,Equador,63,Bahia,5,Aérea,1,2019,janeiro,1,4
América do Sul,4,Guiana,86,Bahia,5,Aérea,1,2019,janeiro,1,0
América do Sul,4,Guiana Francesa,87,Bahia,5,Aérea,1,2019,janeiro,1,0
América do Sul,4,Paraguai,173,Bahia,5,Aérea,1,2019,janeiro,1,17
América do Sul,4,Peru,174,Bahia,5,Aérea,1,2019,janeiro,1,29
América do Sul,4,Suriname,217,Bahia,5,Aérea,1,2019,janeiro,1,0
América do Sul,4,Uruguai,234,Bahia,5,Aérea,1,2019,janeiro,1,60
América do Sul,4,Venezuela,238,Bahia,5,Aérea,1,2019,janeiro,1,14
Ásia,5,Arábia Saudita,9,Bahia,5,Aérea,1,2019,janeiro,1,0
Ásia,5,Bangladesh,18,Bahia,5,Aérea,1,2019,janeiro,1,0
Ásia,5,China,43,Bahia,5,Aérea,1,2019,janeiro,1,1
Ásia,5,China Hong Kong,44,Bahia,5,,1,2019,janeiro,1,0
Ásia,5,Cingapura,47,Bahia,5,Aérea,1,2019,janeiro,1,0
Ásia,5,Filipinas,72,Bahia,5,Aérea,1,2019,janeiro,1,2
Ásia,5,Índia,113,Bahia,5,Aérea,1,2019,janeiro,1,2
Ásia,5,Indonésia,114,Bahia,5,Aérea,1,2019,janeiro,1,2
Ásia,5,Irã,115,Bahia,5,Aérea,1,2019,janeiro,1,0
Ásia,5,Israel,119,Bahia,5,Aérea,1,2019,janeiro,1,8
Ásia,5,Japão,122,Bahia,5,Aérea,1,2019,janeiro,1,0
Ásia,5,Líbano,130,Bahia,5,Aérea,1,2019,janeiro,1,0
Ásia,5,Malásia,138,Bahia,5,Aérea,1,2019,janeiro,1,0
Ásia,5,Paquistão,172,Bahia,5,Aérea,1,2019,janeiro,1,0
Ásia,5,República da Coreia,184,Bahia,5,Aérea,1,2019,janeiro,1,3
Ásia,5,Síria,209,Bahia,5,Aérea,1,2019,janeiro,1,0
Ásia,5,Tailândia,220,Bahia,5,Aérea,1,2019,janeiro,1,1
