Continente,cod continente,País,cod pais,UF,cod uf,Via,cod via,ano,Mês,cod mes,Chegadas
África,1,África do Sul,2,Bahia,5,Aérea,1,2020,janeiro,1,0
África,1,Angola,6,Bahia,5,Aérea,1,2020,janeiro,1,0
África,1,Cabo Verde,35,Bahia,5,Aérea,1,2020,janeiro,1,10
África,1,Egito,60,Bahia,5,Aérea,1,2020,janeiro,1,0
África,1,Gana,77,Bahia,5,Aérea,1,2020,janeiro,1,0
África,1,Marrocos,143,Bahia,5,Aérea,1,2020,janeiro,1,4
África,1,Moçambique,151,Bahia,5,Aérea,1,2020,janeiro,1,0
África,1,Nigéria,162,Bahia,5,Aérea,1,2020,janeiro,1,1
África,1,Quênia,180,Bahia,5,Aérea,1,2020,janeiro,1,0
África,1,Tunísia,228,Bahia,5,Aérea,1,2020,janeiro,1,0
África,1,Outros países,998,Bahia,5,Aérea,1,2020,janeiro,1,4
América Central e Caribe,2,Costa Rica,53,Bahia,5,Aérea,1,2020,janeiro,1,6
América Central e Caribe,2,Cuba,55,Bahia,5,Aérea,1,2020,janeiro,1,5
América Central e Caribe,2,El Salvador,61,Bahia,5,Aérea,1,2020,janeiro,1,0
América Central e Caribe,2,Guatemala,84,Bahia,5,Aérea,1,2020,janeiro,1,1
América Central e Caribe,2,Haiti,91,Bahia,5,Aérea,1,2020,janeiro,1,4
América Central e Caribe,2,Honduras,93,Bahia,5,Aérea,1,2020,janeiro,1,0
América Central e Caribe,2,Nicarágua,160,Bahia,5,Aérea,1,2020,janeiro,1,0
América Central e Caribe,2,Panamá,170,Bahia,5,Aérea,1,2020,janeiro,1,32
América Central e Caribe,2,República Dominicana,186,Bahia,5,Aérea,1,2020,janeiro,1,2
América Central e Caribe,2,Trinidad e Tobago,227,Bahia,5,Aérea,1,2020,janeiro,1,0
América Central e Caribe,2,Outros países,998,Bahia,5,Aérea,1,2020,janeiro,1,0
América do Norte,3,Canadá,38,Bahia,5,Aérea,1,2020,janeiro,1,63
América do Norte,3,Estados Unidos,68,Bahia,5,Aérea,1,2020,janeiro,1,253
