Continente,cod continente,País,cod pais,UF,cod uf,Via,cod via,ano,Mês,cod mes,Chegadas
África,1,África do Sul,2,Bahia,5,Aérea,1,2021,janeiro,1,0
África,1,África do Sul,2,Bahia,5,Aérea,1,2021,fevereiro,2,0
África,1,África do Sul,2,Bahia,5,Aérea,1,2021,março,3,0
África,1,África do Sul,2,Bahia,5,Aérea,1,2021,abril,4,0
África,1,África do Sul,2,Bahia,5,Aérea,1,2021,maio,5,0
África,1,África do Sul,2,Bahia,5,Aérea,1,2021,junho,6,0
África,1,África do Sul,2,Bahia,5,Aérea,1,2021,julho,7,0
África,1,África do Sul,2,Bahia,5,Aérea,1,2021,agosto,8,0
África,1,África do Sul,2,Bahia,5,Aérea,1,2021,setembro,9,0
África,1,África do Sul,2,Bahia,5,Aérea,1,2021,outubro,10,0
África,1,África do Sul,2,Bahia,5,Aérea,1,2021,novembro,11,0
África,1,África do Sul,2,Bahia,5,Aérea,1,2021,dezembro,12,0
África,1,Angola,6,Bahia,5,Aérea,1,2021,janeiro,1,0
África,1,Angola,6,Bahia,5,Aérea,1,2021,fevereiro,2,0
África,1,Angola,6,Bahia,5,Aérea,1,2021,março,3,0
África,1,Angola,6,Bahia,5,Aérea,1,2021,abril,4,0
África,1,Angola,6,Bahia,5,Aérea,1,2021,maio,5,0
África,1,Angola,6,Bahia,5,Aérea,1,2021,junho,6,0
África,1,Angola,6,Bahia,5,Aérea,1,2021,julho,7,0
África,1,Angola,6,Bahia,5,Aérea,1,2021,agosto,8,1
África,1,Angola,6,Bahia,5,Aérea,1,2021,setembro,9,0
África,1,Angola,6,Bahia,5,Aérea,1,2021,outubro,10,3
África,1,Angola,6,Bahia,5,Aérea,1,2021,novembro,11,1
África,1,Angola,6,Bahia,5,Aérea,1,2021,dezembro,12,1
África,1,Cabo Verde,35,Bahia,5,Aérea,1,2021,janeiro,1,0
África,1,Cabo Verde,35,Bahia,5,Aérea,1,2021,fevereiro,2,0
África,1,Cabo Verde,35,Bahia,5,Aérea,1,2021,março,3,0
África,1,Cabo Verde,35,Bahia,5,Aérea,1,2021,abril,4,2
África,1,Cabo Verde,35,Bahia,5,Aérea,1,2021,maio,5,1
África,1,Cabo Verde,35,Bahia,5,Aérea,1,2021,junho,6,1
África,1,Cabo Verde,35,Bahia,5,Aérea,1,2021,julho,7,1
África,1,Cabo Verde,35,Bahia,5,Aérea,1,2021,agosto,8,1
África,1,Cabo Verde,35,Bahia,5,Aérea,1,2021,setembro,9,1
África,1,Cabo Verde,35,Bahia,5,Aérea,1,2021,outubro,10,2
África,1,Cabo Verde,35,Bahia,5,Aérea,1,2021,novembro,11,1
África,1,Cabo Verde,35,Bahia,5,Aérea,1,2021,dezembro,12,0
África,1,Egito,60,Bahia,5,Aérea,1,2021,janeiro,1,0
África,1,Egito,60,Bahia,5,Aérea,1,2021,fevereiro,2,0
África,1,Egito,60,Bahia,5,Aérea,1,2021,março,3,0
África,1,Egito,60,Bahia,5,Aérea,1,2021,abril,4,0
África,1,Egito,60,Bahia,5,Aérea,1,2021,maio,5,0
África,1,Egito,60,Bahia,5,Aérea,1,2021,junho,6,0
África,1,Egito,60,Bahia,5,Aérea,1,2021,julho,7,0
África,1,Egito,60,Bahia,5,Aérea,1,2021,agosto,8,0
África,1,Egito,60,Bahia,5,Aérea,1,2021,setembro,9,0
África,1,Egito,60,Bahia,5,Aérea,1,2021,outubro,10,0
África,1,Egito,60,Bahia,5,Aérea,1,2021,novembro,11,0
África,1,Egito,60,Bahia,5,Aérea,1,2021,dezembro,12,1
África,1,Gana,77,Bahia,5,Aérea,1,2021,janeiro,1,0
África,1,Gana,77,Bahia,5,Aérea,1,2021,fevereiro,2,0
África,1,Gana,77,Bahia,5,Aérea,1,2021,março,3,0
África,1,Gana,77,Bahia,5,Aérea,1,2021,abril,4,0
África,1,Gana,77,Bahia,5,Aérea,1,2021,maio,5,0
África,1,Gana,77,Bahia,5,Aérea,1,2021,junho,6,0
África,1,Gana,77,Bahia,5,Aérea,1,2021,julho,7,0
África,1,Gana,77,Bahia,5,Aérea,1,2021,agosto,8,0
África,1,Gana,77,Bahia,5,Aérea,1,2021,setembro,9,0
África,1,Gana,77,Bahia,5,Aérea,1,2021,outubro,10,0
África,1,Gana,77,Bahia,5,Aérea,1,2021,novembro,11,0
África,1,Gana,77,Bahia,5,Aérea,1,2021,dezembro,12,0
África,1,Marrocos,143,Bahia,5,Aérea,1,2021,janeiro,1,0
África,1,Marrocos,143,Bahia,5,Aérea,1,2021,fevereiro,2,0
África,1,Marrocos,143,Bahia,5,Aérea,1,2021,março,3,0
África,1,Marrocos,143,Bahia,5,Aérea,1,2021,abril,4,0
África,1,Marrocos,143,Bahia,5,Aérea,1,2021,maio,5,0
